javax.crypto.JceSecurity	java.lang.Object	<javax.crypto.JceSecurity: java.util.Map verifyingProviders>
javax.crypto.JceSecurity	java.lang.Object	<javax.crypto.JceSecurity: java.util.Map codeBaseCacheRef>
java.lang.invoke.DirectMethodHandle	java.lang.invoke.MethodHandle	<java.lang.invoke.DirectMethodHandle: java.lang.invoke.LambdaForm[] ACCESSOR_FORMS>
java.lang.invoke.DirectMethodHandle	java.lang.Object	<java.lang.invoke.DirectMethodHandle: java.lang.invoke.LambdaForm[] ACCESSOR_FORMS>
sun.security.util.ManifestEntryVerifier	java.lang.Object	<sun.security.util.ManifestEntryVerifier: java.util.ArrayList manifestHashes>
sun.awt.image.OffScreenImageSource	java.lang.Object	<sun.awt.image.OffScreenImageSource: java.util.Hashtable properties>
sun.misc.URLClassPath$JarLoader	sun.misc.URLClassPath$Loader	<sun.misc.URLClassPath$JarLoader: java.util.HashMap lmap>
sun.awt.image.FetcherInfo	java.lang.Object	<sun.awt.image.FetcherInfo: java.util.Vector waitList>
sun.awt.image.FetcherInfo	java.lang.Object	<sun.awt.image.FetcherInfo: java.lang.Thread[] fetchers>
java.lang.ThreadLocal$ThreadLocalMap	java.lang.Object	<java.lang.ThreadLocal$ThreadLocalMap: java.lang.ThreadLocal$ThreadLocalMap$Entry[] table>
javax.swing.RowFilter$ComparisonType	javax.swing.RowFilter$ComparisonType	<javax.swing.RowFilter$ComparisonType: javax.swing.RowFilter$ComparisonType[] $VALUES>
sun.swing.AccumulativeRunnable	java.lang.Object	<sun.swing.AccumulativeRunnable: java.util.List arguments>
sun.util.resources.ParallelListResourceBundle	java.lang.Object	<sun.util.resources.ParallelListResourceBundle: java.util.concurrent.ConcurrentMap lookup>
sun.security.validator.EndEntityChecker	java.lang.Object	<sun.security.validator.EndEntityChecker: java.util.Collection KU_SERVER_ENCRYPTION>
sun.security.validator.EndEntityChecker	java.lang.Object	<sun.security.validator.EndEntityChecker: java.util.Collection KU_SERVER_SIGNATURE>
sun.security.validator.EndEntityChecker	java.lang.Object	<sun.security.validator.EndEntityChecker: java.util.Collection KU_SERVER_KEY_AGREEMENT>
javax.swing.text.html.HTML$Attribute	javax.swing.text.html.HTML$Attribute	<javax.swing.text.html.HTML$Attribute: javax.swing.text.html.HTML$Attribute[] allAttributes>
javax.imageio.stream.MemoryCache	java.lang.Object	<javax.imageio.stream.MemoryCache: java.util.ArrayList cache>
java.net.URLClassLoader$6	java.lang.Object	<java.net.URLClassLoader$6: java.net.URL[] val$urls>
javax.swing.SortingFocusTraversalPolicy	java.lang.Object	<javax.swing.SortingFocusTraversalPolicy: java.util.List cachedCycle>
java.util.IdentityHashMap$EntrySet	java.lang.Object	<java.util.IdentityHashMap$EntrySet: java.util.IdentityHashMap this$0>
java.util.JumboEnumSet$EnumSetIterator	java.lang.Object	<java.util.JumboEnumSet$EnumSetIterator: java.util.JumboEnumSet this$0>
com.sun.java.swing.plaf.windows.TMSchema$Control	com.sun.java.swing.plaf.windows.TMSchema$Control	<com.sun.java.swing.plaf.windows.TMSchema$Control: com.sun.java.swing.plaf.windows.TMSchema$Control[] $VALUES>
java.net.HttpCookie	java.lang.Object	<java.net.HttpCookie: java.util.Map assignors>
sun.nio.ch.SocketChannelImpl$DefaultOptionsHolder	java.lang.Object	<sun.nio.ch.SocketChannelImpl$DefaultOptionsHolder: java.util.Set defaultOptions>
javax.imageio.ImageTypeSpecifier	javax.imageio.ImageTypeSpecifier	<javax.imageio.ImageTypeSpecifier: javax.imageio.ImageTypeSpecifier[] BISpecifier>
java.security.cert.CertPathValidatorException$BasicReason	java.security.cert.CertPathValidatorException$BasicReason	<java.security.cert.CertPathValidatorException$BasicReason: java.security.cert.CertPathValidatorException$BasicReason[] $VALUES>
java.time.chrono.AbstractChronology	java.lang.Object	<java.time.chrono.AbstractChronology: java.util.concurrent.ConcurrentHashMap CHRONOS_BY_ID>
java.time.chrono.AbstractChronology	java.lang.Object	<java.time.chrono.AbstractChronology: java.util.concurrent.ConcurrentHashMap CHRONOS_BY_TYPE>
java.awt.Font	java.lang.Object	<java.awt.Font: java.util.Hashtable fRequestedAttributes>
com.sun.imageio.plugins.jpeg.JPEGImageReader$CallBackLock$State	com.sun.imageio.plugins.jpeg.JPEGImageReader$CallBackLock$State	<com.sun.imageio.plugins.jpeg.JPEGImageReader$CallBackLock$State: com.sun.imageio.plugins.jpeg.JPEGImageReader$CallBackLock$State[] $VALUES>
sun.nio.cs.FastCharsetProvider	java.nio.charset.spi.CharsetProvider	<sun.nio.cs.FastCharsetProvider: java.util.Map cache>
java.util.TreeMap$EntrySet	java.lang.Object	<java.util.TreeMap$EntrySet: java.util.TreeMap this$0>
java.util.jar.Manifest	java.lang.Object	<java.util.jar.Manifest: java.util.jar.Attributes attr>
java.nio.channels.spi.AbstractSelector	java.lang.Object	<java.nio.channels.spi.AbstractSelector: java.util.Set cancelledKeys>
sun.misc.PerformanceLogger	java.lang.Object	<sun.misc.PerformanceLogger: java.util.Vector times>
javax.imageio.metadata.IIOMetadataFormatImpl$Attribute	java.lang.Object	<javax.imageio.metadata.IIOMetadataFormatImpl$Attribute: java.util.List enumeratedValues>
java.util.concurrent.LinkedBlockingDeque$LBDSpliterator	java.lang.Object	<java.util.concurrent.LinkedBlockingDeque$LBDSpliterator: java.util.concurrent.LinkedBlockingDeque queue>
com.sun.imageio.plugins.jpeg.JPEGMetadata	java.lang.Object	<com.sun.imageio.plugins.jpeg.JPEGMetadata: java.util.List markerSequence>
com.sun.imageio.plugins.jpeg.JPEGMetadata	java.lang.Object	<com.sun.imageio.plugins.jpeg.JPEGMetadata: java.util.List resetSequence>
com.sun.imageio.plugins.jpeg.JFIFMarkerSegment	java.lang.Object	<com.sun.imageio.plugins.jpeg.JFIFMarkerSegment: java.util.ArrayList extSegments>
sun.awt.ExtendedKeyCodes	java.lang.Object	<sun.awt.ExtendedKeyCodes: java.util.HashMap regularKeyCodesMap>
