org.bouncycastle.asn1.eac.BidirectionalMap	<java.util.Hashtable: boolean equals(java.lang.Object)>/java.lang.Object.equals/0	<java.util.Hashtable: boolean equals(java.lang.Object)>/l6#_808
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Toolkit getToolkitImpl()>/java.awt.Container.getToolkitImpl/0	<java.awt.Component: java.awt.Toolkit getToolkitImpl()>/l1#_1222
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: boolean isRecursivelyVisible()>/java.awt.Container.isRecursivelyVisible/0	<java.awt.Component: boolean isRecursivelyVisible()>/$r1
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: boolean isShowing()>/java.awt.Container.isShowing/0	<java.awt.Component: boolean isShowing()>/l1#_1432
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Color getForeground()>/java.awt.Container.getForeground/0	<java.awt.Component: java.awt.Color getForeground()>/l2#_1749
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Color getBackground()>/java.awt.Container.getBackground/0	<java.awt.Component: java.awt.Color getBackground()>/l2#_1804
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Font getFont_NoClientCode()>/java.awt.Container.getFont_NoClientCode/0	<java.awt.Component: java.awt.Font getFont_NoClientCode()>/l2#_1872
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.util.Locale getLocale()>/java.awt.Container.getLocale/0	<java.awt.Component: java.util.Locale getLocale()>/l2#_1947
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Graphics getGraphics()>/java.awt.Container.getGraphics/0	<java.awt.Component: java.awt.Graphics getGraphics()>/$r2
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Graphics getGraphics_NoClientCode()>/java.awt.Container.getGraphics_NoClientCode/0	<java.awt.Component: java.awt.Graphics getGraphics_NoClientCode()>/l2#_3051
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: void repaint(long,int,int,int,int)>/java.awt.Container.repaint/0	<java.awt.Component: void repaint(long,int,int,int,int)>/$r6
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.Image createImage(int,int)>/java.awt.Container.createImage/0	<java.awt.Component: java.awt.Image createImage(int,int)>/$r1
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.image.VolatileImage createVolatileImage(int,int)>/java.awt.Container.createVolatileImage/0	<java.awt.Component: java.awt.image.VolatileImage createVolatileImage(int,int)>/$r1
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: boolean prepareImage(java.awt.Image,int,int,java.awt.image.ImageObserver)>/java.awt.Container.prepareImage/0	<java.awt.Component: boolean prepareImage(java.awt.Image,int,int,java.awt.image.ImageObserver)>/$r3
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: int checkImage(java.awt.Image,int,int,java.awt.image.ImageObserver)>/java.awt.Container.checkImage/0	<java.awt.Component: int checkImage(java.awt.Image,int,int,java.awt.image.ImageObserver)>/$r3
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: boolean postEvent(java.awt.Event)>/java.awt.Component.postEvent/0	<java.awt.Component: boolean postEvent(java.awt.Event)>/l3#_5193
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Component: java.awt.im.InputContext getInputContext()>/java.awt.Container.getInputContext/0	<java.awt.Component: java.awt.im.InputContext getInputContext()>/l1#_6049
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Window: void addNotify()>/java.awt.Container.addNotify/0	<java.awt.Window: void addNotify()>/l2#_760
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Window: void show()>/java.awt.Window.show/0	<java.awt.Window: void show()>/l2#_1045
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Window: void hide()>/java.awt.Window.hide/0	<java.awt.Window: void hide()>/l3#_1105
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Window: void toFront_NoClientCode()>/java.awt.Dialog.toFront_NoClientCode/0	<java.awt.Window: void toFront_NoClientCode()>/$r1
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Window: boolean isModalExcluded(java.awt.Dialog$ModalExclusionType)>/java.awt.Window.isModalExcluded/0	<java.awt.Window: boolean isModalExcluded(java.awt.Dialog$ModalExclusionType)>/l2#_1716
org.apache.pdfbox.debugger.PDFDebugger	<java.awt.Container: boolean canContainFocusOwner(java.awt.Component)>/java.awt.Container.canContainFocusOwner/0	<java.awt.Container: boolean canContainFocusOwner(java.awt.Component)>/$r0
