com.thoughtworks.xstream.converters.ErrorWritingException	java.lang.Object	<com.thoughtworks.xstream.converters.ErrorWritingException: java.util.Map stuff>
com.thoughtworks.xstream.core.util.SerializationMembers	java.lang.Object	<com.thoughtworks.xstream.core.util.SerializationMembers: java.util.Map declaredCache>
com.thoughtworks.xstream.core.util.SerializationMembers	java.lang.Object	<com.thoughtworks.xstream.core.util.SerializationMembers: java.util.Map resRepCache>
com.thoughtworks.xstream.core.util.SerializationMembers	java.lang.Object	<com.thoughtworks.xstream.core.util.SerializationMembers: java.util.Map fieldCache>
com.thoughtworks.xstream.core.util.SerializationMembers	java.lang.Object	<com.thoughtworks.xstream.core.util.SerializationMembers: java.lang.Object[] EMPTY_ARGS>
com.thoughtworks.xstream.core.util.SerializationMembers	java.lang.Object	<com.thoughtworks.xstream.core.util.SerializationMembers: java.util.Map NO_FIELDS>
com.thoughtworks.xstream.core.util.Pool	java.lang.Object	<com.thoughtworks.xstream.core.util.Pool: java.lang.Object[] pool>
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter$ReverseEngineeredCallbackFilter	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter$ReverseEngineeredCallbackFilter: java.util.Map callbackIndexMap>
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter: java.util.Map attributeMap>
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter: java.util.Map instanceMaps>
com.thoughtworks.xstream.io.xml.QNameMap	java.lang.Object	<com.thoughtworks.xstream.io.xml.QNameMap: java.util.Map qnameToJava>
com.thoughtworks.xstream.io.xml.QNameMap	java.lang.Object	<com.thoughtworks.xstream.io.xml.QNameMap: java.util.Map javaToQName>
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1: java.util.Map val$defaultFieldDefinition>
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1: java.util.Set writtenAttributes>
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1: java.util.List val$fields>
com.thoughtworks.xstream.core.util.ObjectIdDictionary	java.lang.Object	<com.thoughtworks.xstream.core.util.ObjectIdDictionary: java.util.Map map>
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList: java.util.Map map>
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$MappingList: java.util.Map fieldCache>
com.thoughtworks.xstream.security.ExplicitTypePermission	java.lang.Object	<com.thoughtworks.xstream.security.ExplicitTypePermission: java.util.Set names>
com.thoughtworks.xstream.io.xml.TraxSource	java.lang.Object	<com.thoughtworks.xstream.io.xml.TraxSource: java.util.List source>
com.thoughtworks.xstream.converters.basic.StringConverter	java.lang.Object	<com.thoughtworks.xstream.converters.basic.StringConverter: java.util.Map cache>
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper: java.util.Map nameToAlias>
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper: java.util.Map aliasToName>
com.thoughtworks.xstream.converters.javabean.BeanProvider	java.lang.Object	<com.thoughtworks.xstream.converters.javabean.BeanProvider: java.lang.Object[] NO_PARAMS>
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.ImplicitCollectionMapper: java.util.Map classNameToMapper>
com.thoughtworks.xstream.mapper.PackageAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.PackageAliasingMapper: java.util.Map nameToPackage>
com.thoughtworks.xstream.mapper.PackageAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.PackageAliasingMapper: java.util.Map packageToName>
com.thoughtworks.xstream.core.util.WeakCache$4	java.lang.Object	<com.thoughtworks.xstream.core.util.WeakCache$4: java.util.Set val$set>
com.thoughtworks.xstream.core.util.WeakCache$4	java.lang.Object	<com.thoughtworks.xstream.core.util.WeakCache$4: com.thoughtworks.xstream.core.util.WeakCache this$0>
com.thoughtworks.xstream.converters.reflection.FieldDictionary$DictionaryEntry	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.FieldDictionary$DictionaryEntry: java.util.Map keyedByFieldName>
com.thoughtworks.xstream.converters.reflection.FieldDictionary$DictionaryEntry	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.FieldDictionary$DictionaryEntry: java.util.Map keyedByFieldKey>
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1	java.lang.Object	<com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1: java.util.Map val$defaultFieldDefinition>
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1	java.lang.Object	<com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter$1: java.lang.Object[] val$realValue>
com.thoughtworks.xstream.converters.reflection.SunUnsafeReflectionProvider	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.SunUnsafeReflectionProvider: java.util.Map fieldOffsetCache>
com.thoughtworks.xstream.io.binary.BinaryStreamReader$IdRegistry	java.lang.Object	<com.thoughtworks.xstream.io.binary.BinaryStreamReader$IdRegistry: java.util.Map map>
com.thoughtworks.xstream.converters.reflection.FieldDictionary	java.lang.Object	<com.thoughtworks.xstream.converters.reflection.FieldDictionary: java.util.Map dictionaryEntries>
com.thoughtworks.xstream.mapper.FieldAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.FieldAliasingMapper: java.util.Map fieldToAliasMap>
com.thoughtworks.xstream.mapper.FieldAliasingMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.FieldAliasingMapper: java.util.Map aliasToFieldMap>
com.thoughtworks.xstream.mapper.LocalConversionMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.LocalConversionMapper: java.util.Map localConverters>
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.DefaultImplementationsMapper: java.util.Map typeToImpl>
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.DefaultImplementationsMapper: java.util.Map implToType>
com.thoughtworks.xstream.mapper.SecurityMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.SecurityMapper: java.util.List permissions>
com.thoughtworks.xstream.mapper.AttributeMapper	java.lang.Object	<com.thoughtworks.xstream.mapper.AttributeMapper: java.util.Map fieldNameToTypeMap>
