javafx.stage.Screen	java.lang.Object	<javafx.stage.Screen: javafx.collections.ObservableList screens>
javafx.stage.Screen	java.lang.Object	<javafx.stage.Screen: javafx.collections.ObservableList unmodifiableScreens>
com.sun.javafx.cursor.CursorFrame	java.lang.Object	<com.sun.javafx.cursor.CursorFrame: java.util.Map otherPlatformCursors>
javafx.beans.binding.Bindings$6	javafx.beans.Observable	<javafx.beans.binding.Bindings$6: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.scene.control.behavior.SpinnerBehavior	java.lang.Object	<com.sun.javafx.scene.control.behavior.SpinnerBehavior: java.util.List SPINNER_BINDINGS>
javafx.beans.binding.Bindings$13	javafx.beans.Observable	<javafx.beans.binding.Bindings$13: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.scene.control.behavior.TabPaneBehavior	java.lang.Object	<com.sun.javafx.scene.control.behavior.TabPaneBehavior: java.util.List TAB_PANE_BINDINGS>
javafx.scene.chart.BarChart$StyleableProperties	java.lang.Object	<javafx.scene.chart.BarChart$StyleableProperties: java.util.List STYLEABLES>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map clampTexCache>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map repeatTexCache>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map mipmapTexCache>
javafx.scene.chart.LineChart$SortingPolicy	javafx.scene.chart.LineChart$SortingPolicy	<javafx.scene.chart.LineChart$SortingPolicy: javafx.scene.chart.LineChart$SortingPolicy[] $VALUES>
com.sun.javafx.font.WindowsFontMap	java.lang.Object	<com.sun.javafx.font.WindowsFontMap: java.util.HashMap platformFontMap>
com.sun.javafx.sg.prism.NodeEffectInput$RenderType	com.sun.javafx.sg.prism.NodeEffectInput$RenderType	<com.sun.javafx.sg.prism.NodeEffectInput$RenderType: com.sun.javafx.sg.prism.NodeEffectInput$RenderType[] $VALUES>
com.sun.deploy.uitoolkit.impl.fx.ui.resources.Deployment	java.lang.Object	<com.sun.deploy.uitoolkit.impl.fx.ui.resources.Deployment: java.lang.Object[][] contents>
javafx.beans.binding.Bindings$86	java.lang.Object	<javafx.beans.binding.Bindings$86: javafx.collections.ObservableSet val$op>
javafx.geometry.Side	javafx.geometry.Side	<javafx.geometry.Side: javafx.geometry.Side[] $VALUES>
javafx.fxml.FXMLLoader$SupportedType	javafx.fxml.FXMLLoader$SupportedType	<javafx.fxml.FXMLLoader$SupportedType: javafx.fxml.FXMLLoader$SupportedType[] $VALUES>
javafx.scene.layout.GridPane	java.lang.Object	<javafx.scene.layout.GridPane: java.util.List[] rowBaseline>
javafx.scene.layout.GridPane	javafx.scene.Node	<javafx.scene.layout.GridPane: java.util.List[] rowBaseline>
javafx.collections.FXCollections$SynchronizedObservableMap	java.lang.Object	<javafx.collections.FXCollections$SynchronizedObservableMap: javafx.collections.ObservableMap backingMap>
com.sun.javafx.scene.control.behavior.MenuButtonBehaviorBase	java.lang.Object	<com.sun.javafx.scene.control.behavior.MenuButtonBehaviorBase: java.util.List BASE_MENU_BUTTON_BINDINGS>
com.sun.javafx.scene.control.behavior.TextFieldBehavior$TextInputTypes	com.sun.javafx.scene.control.behavior.TextFieldBehavior$TextInputTypes	<com.sun.javafx.scene.control.behavior.TextFieldBehavior$TextInputTypes: com.sun.javafx.scene.control.behavior.TextFieldBehavior$TextInputTypes[] $VALUES>
com.sun.scenario.effect.impl.prism.PrFilterContext	java.lang.Object	<com.sun.scenario.effect.impl.prism.PrFilterContext: java.util.Map ctxMap>
javafx.beans.binding.Bindings$49	javafx.beans.Observable	<javafx.beans.binding.Bindings$49: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.iio.ImageStorage$ImageType	com.sun.javafx.iio.ImageStorage$ImageType	<com.sun.javafx.iio.ImageStorage$ImageType: com.sun.javafx.iio.ImageStorage$ImageType[] $VALUES>
com.sun.prism.j2d.paint.MultipleGradientPaint$CycleMethod	com.sun.prism.j2d.paint.MultipleGradientPaint$CycleMethod	<com.sun.prism.j2d.paint.MultipleGradientPaint$CycleMethod: com.sun.prism.j2d.paint.MultipleGradientPaint$CycleMethod[] $VALUES>
javafx.scene.CssStyleHelper	java.lang.Object	<javafx.scene.CssStyleHelper: com.sun.javafx.css.PseudoClassState triggerStates>
javafx.scene.CssStyleHelper	java.lang.Object	<javafx.scene.CssStyleHelper: java.util.Set NULL_PSEUDO_CLASS_STATE>
com.sun.prism.es2.ES2PhongShader$SelfIllumState	com.sun.prism.es2.ES2PhongShader$SelfIllumState	<com.sun.prism.es2.ES2PhongShader$SelfIllumState: com.sun.prism.es2.ES2PhongShader$SelfIllumState[] $VALUES>
javafx.scene.control.TextArea$TextAreaContent	java.lang.Object	<javafx.scene.control.TextArea$TextAreaContent: javafx.scene.control.TextArea$ParagraphList paragraphList>
javafx.scene.control.ButtonBar$ButtonData	javafx.scene.control.ButtonBar$ButtonData	<javafx.scene.control.ButtonBar$ButtonData: javafx.scene.control.ButtonBar$ButtonData[] $VALUES>
com.sun.javafx.collections.ObservableSetWrapper	java.lang.Object	<com.sun.javafx.collections.ObservableSetWrapper: java.util.Set backingSet>
com.sun.javafx.scene.KeyboardShortcutsHandler$CopyOnWriteMap$1$1	java.lang.Object	<com.sun.javafx.scene.KeyboardShortcutsHandler$CopyOnWriteMap$1$1: com.sun.javafx.scene.KeyboardShortcutsHandler$CopyOnWriteMap$1 this$1>
com.sun.javafx.scene.KeyboardShortcutsHandler$CopyOnWriteMap$1$1	java.lang.Object	<com.sun.javafx.scene.KeyboardShortcutsHandler$CopyOnWriteMap$1$1: java.util.Map backingMapAtCreation>
com.sun.javafx.scene.LayoutFlags	com.sun.javafx.scene.LayoutFlags	<com.sun.javafx.scene.LayoutFlags: com.sun.javafx.scene.LayoutFlags[] $VALUES>
com.sun.javafx.scene.control.behavior.ScrollBarBehavior	java.lang.Object	<com.sun.javafx.scene.control.behavior.ScrollBarBehavior: java.util.List SCROLL_BAR_BINDINGS>
javafx.beans.binding.Bindings$48	javafx.beans.Observable	<javafx.beans.binding.Bindings$48: javafx.beans.Observable[] val$dependencies>
javafx.scene.chart.CategoryAxis$StyleableProperties	java.lang.Object	<javafx.scene.chart.CategoryAxis$StyleableProperties: java.util.List STYLEABLES>
javafx.scene.media.MediaException$Type	javafx.scene.media.MediaException$Type	<javafx.scene.media.MediaException$Type: javafx.scene.media.MediaException$Type[] $VALUES>
javafx.beans.binding.Bindings$71	java.lang.Object	<javafx.beans.binding.Bindings$71: javafx.collections.ObservableList val$op>
javafx.scene.CssStyleHelper$CacheContainer	java.lang.Object	<javafx.scene.CssStyleHelper$CacheContainer: java.util.Map fontSizeCache>
javafx.scene.CssStyleHelper$CacheContainer	java.lang.Object	<javafx.scene.CssStyleHelper$CacheContainer: java.util.Map cssSetProperties>
javafx.scene.input.MouseButton	javafx.scene.input.MouseButton	<javafx.scene.input.MouseButton: javafx.scene.input.MouseButton[] $VALUES>
